City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
506,Port-Gentil,GA,74.25,overcast clouds,-0.7193,8.7815,Fengshui Residence
507,Auki,SB,80.35,broken clouds,-8.7676,160.7034,Auki Motel
510,Mitsamiouli,KM,75.51,clear sky,-11.3847,43.2844,Foyer ADM
511,Helong,CN,70.41,overcast clouds,42.5397,128.9972,Helong Hotel
513,Payo,ID,70.79,moderate rain,-3.7508,103.6372,Mess keban agung
517,Marsa Matruh,EG,80.8,clear sky,31.3525,27.2453,Beau Site
518,Ponta Do Sol,PT,74.71,clear sky,32.6667,-17.1,Hotel do Campo
525,Lagunas,PE,78.21,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
526,Neiafu,TO,77.68,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
527,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
529,Mao,ES,81.16,clear sky,39.8885,4.2658,ARTIEM Capri
530,Ciro Marina,IT,81.37,clear sky,39.3732,17.126,Hotel Miramare
535,Kiunga,PG,73.11,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
537,Wana,PK,78.3,clear sky,32.2989,69.5725,Rest House at Wana Camp
538,San Policarpo,PH,76.53,light rain,12.1791,125.5072,Agapita M. Nicart
540,Cayenne,GF,86.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
541,Luyang,CN,76.23,few clouds,27.6239,110.0989,Zhijia Fashion Hotel
543,Neepawa,CA,82.8,clear sky,50.2289,-99.4664,"Westway Inn Motel, Neepawa"
545,Waling,NP,72.23,light rain,27.9833,83.7667,Venus Hotel
548,Broome,US,75.2,moderate rain,42.2506,-75.833,Chenango Valley State Park
549,Wajima,JP,77.31,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
552,Rajgarh,IN,85.19,broken clouds,28.6333,75.3833,Nand Plaza Hotel Bar & Restaurant - Best Hotel | Bar | Top Restaurant in Sadulpur
554,Shimoda,JP,73.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
558,Dumka,IN,80.37,scattered clouds,24.2667,87.25,"Hotel Shashwat , Sri Shyam Plaza ,Dumka"
562,Tiarei,PF,77.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
565,Dogondoutchi,NE,82.13,broken clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
566,Itamaraca,BR,78.85,clear sky,-7.7478,-34.8256,Special K's Bed & Breakfast
568,Mikhaylovsk,RU,80.82,broken clouds,45.1283,42.0256,Max Augustine hotel
569,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
575,Kintampo,GH,73.36,overcast clouds,8.0563,-1.7306,Adomaa Memorial Hotel
579,Claveria,PH,78.96,overcast clouds,18.6074,121.0832,Casa Grand Inn By The Sea
580,Diego De Almagro,CL,71.58,broken clouds,-26.3667,-70.05,hotel luna del desierto
581,Nagato,JP,79.75,clear sky,34.3833,131.2,いそう庵
582,Kailua,US,83.61,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
584,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
589,Santarem,BR,87.93,few clouds,-2.4431,-54.7083,Hotel Imperador
590,Nhulunbuy,AU,77.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
593,Los Llanos De Aridane,ES,72.12,broken clouds,28.6585,-17.9182,Valle Aridane
595,Cap-Aux-Meules,CA,77.05,few clouds,47.3821,-61.8597,Auberge Madeli
596,Dwarka,IN,82.27,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
601,Japura,ID,73.56,light rain,-0.3167,102.35,Rumah mbah Jamah
603,Ferkessedougou,CI,73.83,overcast clouds,9.6,-5.2,Hotel Chateau
605,Whitefish,US,83.1,clear sky,48.4111,-114.3376,Best Western Rocky Mountain Lodge
607,Tumba,SE,71.51,scattered clouds,59.1986,17.8332,Lida friluftsgård
608,Iracoubo,GF,81.25,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
611,Murgab,TM,78.67,clear sky,37.4966,61.9714,Wepa Nurlyýew
615,Teguise,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
616,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
617,Canatlan,MX,83.44,overcast clouds,24.5167,-104.7833,AUTOLAVADO El Negro
618,Portland,US,76.15,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
619,Khash,IR,80.37,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
621,Panlaitan,PH,80.26,overcast clouds,12.1191,119.8486,SOUTH BEACH
628,Najran,SA,83.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
629,Qui Nhon,VN,79.75,overcast clouds,13.7667,109.2333,Seagull Hotel
630,Erenhot,CN,71.17,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
631,Baculin,PH,77.09,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
632,Ruwi,OM,89.29,scattered clouds,23.5996,58.5507,Al Falaj Hotel
636,Puerto Escondido,MX,88.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
638,Maningrida,AU,70.43,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
642,Madang,PG,76.24,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
644,Powell River,CA,71.08,few clouds,49.8496,-124.5361,Rodmay Hotel
645,Santa Cruz,BO,81.86,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
647,Camalu,MX,78.87,broken clouds,30.85,-116.0667,La Cueva del Pirata
649,College,US,73.47,few clouds,64.8569,-147.8028,Pike's Waterfront Lodge
652,Calabozo,VE,81.18,overcast clouds,8.9242,-67.4293,Hotel Giardini
653,Lishu,CN,72.5,broken clouds,43.3047,124.3278,Su Camp Business Hotel
654,Malakal,SS,72.46,overcast clouds,9.5334,31.6605,Nile Palace Hotel
655,Ewa Beach,US,83.57,scattered clouds,21.3156,-158.0072,Base Lodging
656,Nanakuli,US,83.57,scattered clouds,21.3906,-158.1547,Camp Pālehua
657,Sechura,PE,74.3,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
659,Pijijiapan,MX,85.55,broken clouds,15.7011,-93.23,Hotel Rosita
664,Tucurui,BR,83.64,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
667,Anaconda,US,85.19,broken clouds,46.1285,-112.9423,Trade Wind Motel
668,Arroyo,ES,78.84,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
670,Mana,GF,81.66,scattered clouds,5.6592,-53.7767,LE SAMANA
672,Sao Raimundo Das Mangabeiras,BR,87.94,broken clouds,-7.0219,-45.4811,Hotel Tropical
673,Mattru,SL,72.91,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
676,Port Blair,IN,81.28,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
677,Ternate,ID,78.55,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
