City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Christchurch,NZ,-43.5333,172.6333,46.42,76,82,2.3,broken clouds
305,Lucapa,AO,-8.4192,20.7447,72.28,27,4,1.07,clear sky
306,Gulu,UG,2.7746,32.299,67.48,80,99,2.1,overcast clouds
307,Orlik,RU,52.5178,99.825,45.82,82,36,1.77,scattered clouds
308,Honningsvag,NO,70.9821,25.9704,56.95,82,100,10.36,overcast clouds
309,Santa Rosa,PH,14.3122,121.1114,77.09,96,100,4.5,heavy intensity rain
310,San Vicente,AR,-26.6167,-54.1333,63.28,85,70,6.51,broken clouds
311,Henties Bay,NA,-22.116,14.2845,53.98,93,9,6.2,clear sky
312,Brae,GB,60.3964,-1.353,50.77,78,17,7.78,few clouds
313,Eureka,US,40.8021,-124.1637,75.2,76,7,5.99,clear sky
314,Port Hardy,CA,50.6996,-127.4199,60.98,72,75,10.36,broken clouds
315,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,20,12.66,few clouds
316,Saint George,US,37.1041,-113.5841,98.8,29,0,18.41,clear sky
317,Bima,ID,-8.4667,118.7167,71.46,93,17,3.87,few clouds
318,Chernelytsya,UA,48.8121,25.4248,69.6,65,91,3.96,overcast clouds
319,Argostolion,GR,38.1811,20.489,84.27,58,0,6.91,clear sky
320,Kaifeng,CN,34.7911,114.3483,81.64,79,0,7.2,clear sky
321,Guerrero Negro,MX,27.9769,-114.0611,80.31,54,1,16.28,clear sky
322,Olafsvik,IS,64.8945,-23.7142,50.25,71,2,10.49,clear sky
323,Albenga,IT,44.0529,8.216,85.42,55,0,4.0,clear sky
324,Kalabo,ZM,-14.97,22.6814,63.37,32,0,6.38,clear sky
325,Vadlapudi,IN,14.3167,79.8,81.61,75,88,4.23,overcast clouds
326,Hambantota,LK,6.1241,81.1185,78.96,77,100,20.27,overcast clouds
327,Husavik,IS,66.0449,-17.3389,45.64,85,81,7.56,broken clouds
328,Kjollefjord,NO,70.9457,27.3465,62.42,72,0,9.22,clear sky
329,Sarkand,KZ,45.41,79.9186,66.56,54,69,5.57,broken clouds
330,Saint-Francois,FR,46.4154,3.9054,78.24,53,0,8.05,clear sky
331,Havre-Saint-Pierre,CA,50.2334,-63.5986,66.56,82,100,8.05,overcast clouds
332,Zyryanka,RU,65.75,150.85,48.45,88,100,9.62,overcast clouds
333,Salalah,OM,17.0151,54.0924,78.89,94,100,2.3,light intensity drizzle
334,Lebu,CL,-37.6167,-73.65,50.7,66,99,5.3,overcast clouds
335,Sovetskiy,RU,61.3614,63.5842,62.4,63,37,4.81,scattered clouds
336,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,82,49,18.32,scattered clouds
337,Angoche,MZ,-16.2325,39.9086,71.73,83,0,4.81,clear sky
338,Catalina,US,32.5056,-110.9211,92.89,44,20,3.0,few clouds
339,Krasnoselkup,RU,65.7,82.4667,56.98,64,61,9.82,broken clouds
340,Wanaka,NZ,-44.7,169.15,45.03,91,100,9.6,light rain
341,Aknada,RU,42.4016,46.1723,56.62,89,65,4.7,broken clouds
342,Hamilton,US,39.1834,-84.5333,84.52,79,40,5.75,scattered clouds
343,Fairbanks,US,64.8378,-147.7164,73.49,52,20,5.75,few clouds
344,Urumqi,CN,43.801,87.6005,77.95,36,0,4.47,clear sky
